chunksize,conns,delta
4194304,44,0.040120125
4194304,43,0.039220095
4194304,42,0.039090157
4194304,41,0.035980225
4194304,40,0.036459923
4194304,39,0.043740034
4194304,38,0.042069912
4194304,37,0.036339998
4194304,36,0.035590172
4194304,35,0.031909943
4194304,34,0.03331995
4194304,33,0.034739971
4194304,32,0.034340143
4194304,31,0.033169985
4194304,30,0.031120062
4194304,29,0.031540155
4194304,28,0.033629894
4194304,27,0.032700062
4194304,26,0.0318501
4194304,25,0.034509897
4194304,24,0.029150009
4194304,23,0.02903986
4194304,22,0.026539803
4194304,21,0.028320074
4194304,20,0.032729864
4194304,19,0.025629997
4194304,18,0.02466011
4194304,17,0.023980141
4194304,16,0.024130106
4194304,15,0.02286005
4194304,14,0.024310112
4194304,13,0.020469904
4194304,12,0.020539999
4194304,11,0.024510145
4194304,10,0.02200985
4194304,9,0.01970005
4194304,8,0.023720026
4194304,7,0.020550013
4194304,6,0.019140005
4194304,5,0.019610167
4194304,4,0.022239923
4194304,3,0.018100023
4194304,2,0.017999887
4194304,1,0.021090031
2097152,50,0.044880152
2097152,49,0.041590214
2097152,48,0.05053997
2097152,47,0.044119835
2097152,46,0.046030045
2097152,45,0.041110039
2097152,44,0.040959835
2097152,43,0.054680109
2097152,42,0.040199995
2097152,41,0.037780046
2097152,40,0.045079947
2097152,39,0.036190033
2097152,38,0.038240194
2097152,37,0.036739826
2097152,36,0.036410093
2097152,35,0.04282999
2097152,34,0.036230087
2097152,33,0.04144001
2097152,32,0.039410114
2097152,31,0.031900167
2097152,30,0.031460047
2097152,29,0.038709879
2097152,28,0.030210018
2097152,27,0.030539989
2097152,26,0.032549858
2097152,25,0.03956008
2097152,24,0.026690006
2097152,23,0.026859999
2097152,22,0.027810097
2097152,21,0.02602005
2097152,20,0.026730061
2097152,19,0.025320053
2097152,18,0.024619818
2097152,17,0.024650097
2097152,16,0.023489952
2097152,15,0.02466011
2097152,14,0.022249937
2097152,13,0.021520138
2097152,12,0.021669865
2097152,11,0.021219969
2097152,10,0.022949934
2097152,9,0.022249937
2097152,8,0.020290136
2097152,7,0.026340008
2097152,6,0.02038002
2097152,5,0.019999981
2097152,4,0.018409967
2097152,3,0.020200014
2097152,2,0.03621006
2097152,1,0.020859957
1048576,50,0.049479961
1048576,49,0.046720028
1048576,48,0.046189785
1048576,47,0.046050072
1048576,46,0.045530081
1048576,45,0.042420149
1048576,44,0.040740013
1048576,43,0.039010048
1048576,42,0.050349951
1048576,41,0.036619902
1048576,40,0.040440083
1048576,39,0.03421998
1048576,38,0.051480055
1048576,37,0.040829897
1048576,36,0.031500101
1048576,35,0.033119917
1048576,34,0.033210039
1048576,33,0.032539845
1048576,32,0.030279875
1048576,31,0.032469988
1048576,30,0.030440092
1048576,29,0.035650015
1048576,28,0.030359983
1048576,27,0.028290033
1048576,26,0.027129889
1048576,25,0.026569843
1048576,24,0.026669979
1048576,23,0.025589943
1048576,22,0.025520086
1048576,21,0.028270006
1048576,20,0.024049997
1048576,19,0.023560047
1048576,18,0.025009871
1048576,17,0.025660038
1048576,16,0.024689913
1048576,15,0.02463007
1048576,14,0.032809973
1048576,13,0.024790049
1048576,12,0.026639938
1048576,11,0.022960186
1048576,10,0.023570061
1048576,9,0.022270203
1048576,8,0.021700144
1048576,7,0.019719839
1048576,6,0.018229961
1048576,5,0.017799854
1048576,4,0.018549919
1048576,3,0.017669916
1048576,2,0.020179987
1048576,1,0.018980026
524288,50,0.048889875
524288,49,0.050480127
524288,48,0.064939976
524288,47,0.042860031
524288,46,0.044150114
524288,45,0.051549911
524288,44,0.044429779
524288,43,0.044920206
524288,42,0.043740034
524288,41,0.039999962
524288,40,0.042109966
524288,39,0.046149969
524288,38,0.044229984
524288,37,0.04151988
524288,36,0.060270071
524288,35,0.043679953
524288,34,0.034180164
524288,33,0.033329964
524288,32,0.030730009
524288,31,0.035580158
524288,30,0.03414011
524288,29,0.034460068
524288,28,0.030499935
524288,27,0.031359911
524288,26,0.031709909
524288,25,0.030120134
524288,24,0.026870012
524288,23,0.036820173
524288,22,0.02857995
524288,21,0.027509928
524288,20,0.025079966
524288,19,0.028039932
524288,18,0.023610115
524288,17,0.024310112
524288,16,0.025119781
524288,15,0.024469852
524288,14,0.029179811
524288,13,0.025429964
524288,12,0.028129816
524288,11,0.022949934
524288,10,0.025449991
524288,9,0.023249865
524288,8,0.024689913
524288,7,0.022769928
524288,6,0.021260023
524288,5,0.021980047
524288,4,0.022109985
524288,3,0.021040201
524288,2,0.020400047
524288,1,0.021020174
262144,50,0.049999952
262144,49,0.046470165
262144,48,0.050250053
262144,47,0.045199871
262144,46,0.048269987
262144,45,0.044149876
262144,44,0.043200016
262144,43,0.039069891
262144,42,0.036629915
262144,41,0.043410063
262144,40,0.04324007
262144,39,0.049649954
262144,38,0.03599
262144,37,0.042360067
262144,36,0.041389942
262144,35,0.038809776
262144,34,0.037149906
262144,33,0.033580065
262144,32,0.031150103
262144,31,0.030210018
262144,30,0.039799929
262144,29,0.036529779
262144,28,0.033120155
262144,27,0.035599947
262144,26,0.033220053
262144,25,0.033349991
262144,24,0.033879995
262144,23,0.028379917
262144,22,0.028259993
262144,21,0.029540062
262144,20,0.030960083
262144,19,0.026809931
262144,18,0.026810169
262144,17,0.026679993
262144,16,0.02741003
262144,15,0.026520014
262144,14,0.025379896
262144,13,0.025650024
262144,12,0.024470091
262144,11,0.022870064
262144,10,0.023779869
262144,9,0.019989967
262144,8,0.024260044
262144,7,0.026139975
262144,6,0.021600008
262144,5,0.022059917
262144,4,0.021310091
262144,3,0.018300056
262144,2,0.01891017
262144,1,0.020590067
131072,50,0.053570032
131072,49,0.051730156
131072,48,0.048089981
131072,47,0.045330048
131072,46,0.050440073
131072,45,0.048570156
131072,44,0.044879913
131072,43,0.046689987
131072,42,0.050290108
131072,41,0.044019938
